churn,tenure,monthlycharges,totalcharges,churn_probability,risk_category
0,1,29.85,29.85,0.6824772020723039,High Risk
0,34,56.95,1889.5,0.036482030800016045,Low Risk
1,2,53.85,108.15,0.3242096294540751,Medium Risk
0,45,42.3,1840.75,0.033838840243636786,Low Risk
1,2,70.7,151.65,0.7100356143669236,High Risk
1,8,99.65,820.5,0.7583313087852688,High Risk
0,22,89.1,1949.4,0.37262831838408733,Medium Risk
0,10,29.75,301.9,0.2515864970482421,Low Risk
1,28,104.8,3046.05,0.5523485533370341,Medium Risk
0,62,56.15,3487.95,0.015601462714640838,Low Risk
0,13,49.95,587.45,0.16581955850481825,Low Risk
0,16,18.95,326.8,0.017297245719109983,Low Risk
0,58,100.35,5681.1,0.2186550389499772,Low Risk
1,49,103.7,5036.3,0.5107560926342685,Medium Risk
0,25,105.5,2686.05,0.38201113307778095,Medium Risk
0,69,113.25,7895.15,0.03650673141485534,Low Risk
0,52,20.65,1022.95,0.014814523306318404,Low Risk
0,71,106.7,7382.25,0.05569394840115756,Low Risk
1,10,55.2,528.35,0.14482611225260142,Low Risk
0,21,90.05,1862.9,0.4756850971783746,Medium Risk
1,1,39.65,39.65,0.8163248503290692,High Risk
0,12,19.8,202.25,0.07265524952100291,Low Risk
1,1,20.15,20.15,0.20634558516772558,Low Risk
0,58,59.9,3505.1,0.01778457367127085,Low Risk
0,49,59.6,2970.3,0.03083914991376683,Low Risk
0,30,55.3,1530.6,0.12476456234152672,Low Risk
1,47,99.35,4749.15,0.4619730018137228,Medium Risk
1,1,30.2,30.2,0.557683023653578,Medium Risk
0,72,90.25,6369.45,0.019644357082237173,Low Risk
1,17,64.7,1093.1,0.2794843679126755,Low Risk
0,71,96.35,6766.95,0.029199929517802835,Low Risk
0,2,95.5,181.65,0.8260710673661875,High Risk
0,27,66.15,1874.45,0.024418651922995575,Low Risk
0,1,20.2,20.2,0.22906729632441877,Low Risk
0,1,45.25,45.25,0.482186410454818,Medium Risk
0,72,99.9,7251.7,0.023071288837957605,Low Risk
1,5,69.7,316.9,0.6693269641436258,High Risk
0,46,74.8,3548.3,0.19345261289386317,Low Risk
1,34,106.35,3549.25,0.583950966583363,Medium Risk
1,11,97.85,1105.4,0.6871265555102992,High Risk
0,10,49.55,475.7,0.10060827642745505,Low Risk
0,70,69.2,4872.35,0.013379210107112878,Low Risk
0,17,20.75,418.25,0.03212822588641346,Low Risk
0,63,79.85,4861.45,0.01549319969070605,Low Risk
0,13,76.2,981.45,0.2418848304543806,Low Risk
0,49,84.5,3906.7,0.5438512077825343,Medium Risk
0,2,49.25,97.0,0.32880730017281534,Medium Risk
1,2,80.65,144.15,0.8114423773347862,High Risk
0,52,79.75,4217.8,0.03270664076767443,Low Risk
0,69,64.15,4254.1,0.009065919958216245,Low Risk
0,43,90.25,3838.75,0.4565897531199727,Medium Risk
1,15,99.1,1426.4,0.3990184166187838,Medium Risk
0,25,69.5,1752.65,0.18407307899218597,Low Risk
1,8,80.65,633.3,0.572719669586991,Medium Risk
0,60,74.85,4456.35,0.031186011490164856,Low Risk
1,18,95.45,1752.55,0.6775681481109154,High Risk
0,63,99.65,6311.2,0.16774900848503826,Low Risk
0,66,108.45,7076.35,0.26438248462305786,Low Risk
0,34,24.95,894.3,0.01243788442977027,Low Risk
0,72,107.5,7853.7,0.07481306265887998,Low Risk
0,47,100.5,4707.1,0.5370416211061109,Medium Risk
0,60,89.9,5450.7,0.31218951403775175,Medium Risk
0,72,42.1,2962.0,0.008273292939481846,Low Risk
0,18,54.4,957.1,0.07131216215169431,Low Risk
1,9,94.4,857.25,0.6900087462188687,High Risk
0,3,75.3,244.1,0.49598250692812723,Medium Risk
0,47,78.9,3650.35,0.2127812696479327,Low Risk
0,31,79.2,2497.2,0.030618457123304143,Low Risk
0,50,20.15,930.9,0.006958005000299022,Low Risk
0,10,79.85,887.35,0.293045894879567,Low Risk
0,1,49.05,49.05,0.35271469642781833,Medium Risk
0,52,20.4,1090.65,0.026659140966801453,Low Risk
0,64,111.6,7099.0,0.07915964474732726,Low Risk
0,62,24.25,1424.6,0.00893159740484964,Low Risk
0,3,64.5,177.4,0.35314783871986793,Medium Risk
0,56,110.5,6139.5,0.24103618626999707,Low Risk
0,46,55.65,2688.85,0.04734938545058772,Low Risk
0,8,54.65,482.25,0.11630657061618288,Low Risk
0,30,74.75,2111.3,0.28621363116149556,Low Risk
0,45,25.9,1216.6,0.026096588352508755,Low Risk
1,1,79.35,79.35,0.8365295778695645,High Risk
0,11,50.55,565.35,0.41262389291662965,Medium Risk
1,7,75.15,496.9,0.5592792503890478,Medium Risk
0,42,103.8,4327.5,0.3170116616997067,Medium Risk
0,49,20.15,973.35,0.011838013443189119,Low Risk
0,9,99.3,918.75,0.6311219236601889,High Risk
0,35,62.15,2215.45,0.06802746456956144,Low Risk
0,48,20.65,1057.0,0.005371463672529218,Low Risk
0,46,19.95,927.1,0.007682348532659722,Low Risk
0,29,33.75,1009.25,0.23432487603291619,Low Risk
0,30,82.05,2570.2,0.18568531612722372,Low Risk
0,1,74.7,74.7,0.7234056586436133,High Risk
0,66,84.0,5714.25,0.02108452853169225,Low Risk
0,65,111.05,7107.0,0.29532550609680974,Low Risk
0,72,100.9,7459.05,0.11395934718015716,Low Risk
1,12,78.95,927.35,0.5337807063479757,Medium Risk
0,71,66.85,4748.7,0.016375191081587696,Low Risk
1,5,21.05,113.85,0.13800792022221586,Low Risk
0,52,21.0,1107.2,0.006777019310626892,Low Risk
1,25,98.5,2514.5,0.5859380865418369,Medium Risk
0,1,20.2,20.2,0.20618935671827066,Low Risk
0,1,19.45,19.45,0.2565884531193132,Low Risk
0,38,95.0,3605.6,0.15609141710051633,Low Risk
0,66,45.55,3027.25,0.05433297961892907,Low Risk
1,68,110.0,7611.85,0.0933520865760712,Low Risk
0,5,24.3,100.2,0.4328258861120255,Medium Risk
0,72,104.15,7303.05,0.19852623469903233,Low Risk
0,32,30.15,927.65,0.06964480687231026,Low Risk
0,43,94.35,3921.3,0.242508725403389,Low Risk
0,72,19.4,1363.25,0.0021697618642120436,Low Risk
1,55,96.75,5238.9,0.32555910438094243,Medium Risk
0,52,57.95,3042.25,0.01948116820216621,Low Risk
0,43,91.65,3954.1,0.31856060962437155,Medium Risk
1,37,76.5,2868.15,0.4529260141562991,Medium Risk
0,64,54.6,3423.5,0.04180743954125889,Low Risk
0,3,89.85,248.4,0.5489234284664278,Medium Risk
0,36,31.05,1126.35,0.027441184685676027,Low Risk
1,10,100.25,1064.65,0.5976661247241771,Medium Risk
0,41,20.65,835.15,0.007527622335188796,Low Risk
0,27,85.2,2151.6,0.29912226833936517,Low Risk
0,56,99.8,5515.45,0.26621409271399454,Low Risk
0,6,20.7,112.75,0.14526264598845162,Low Risk
1,3,74.4,229.55,0.7560071479497035,High Risk
0,7,50.7,350.35,0.15681400730660197,Low Risk
